,text,label
0,kunjungan prabowo meresmikan menyerahkan proyek bantuan air bersih titik indonesiasentris indonesiahijau 02 melanjutkan anak muda indonesia emas prabowo subianto,Sumber Daya Alam
1,anies tepuk tangan meriah rektor mewajibkan mata kuliah antikorupsi memutus mata rantai korupsi aminmiskinkankoruptor,Politik
2,memang benar sih pendukung 01 juga dengan pendukung 02 hanya sj ridwan kamil skemanya terbalik kalau 01 mayoritas pendidikan menengah juga pendidikan rendah pilih,Demografi
3,anies bersikap kritis kinerja prabowo dianggap tidak sopan dianggap menghormati orang tua giliran sekarang gibran tengil sok kritis dianggap kritis keras standar ganda,Politik
4,anies baswedan harap asn tni polri pegang sumpahnya pemilu,Politik
5,duh lurah dengar nih acara hajatan rakyat puluhan ribu warga kendal serukan ganjar presiden kehadiran magnet puluhan ribu warga menghadiri hajatan rakyat ganjar mahfud besarnya antusiasme warga bukti jawa kandang banteng ganjar mahfud 2024 tabrakprofmahfud,Politik
6,prabowo kemenhan tim satgas air unhan kaji bantuan air sukabumi dekade08 prabowo gibran,Pertahanan dan Keamanan
7,anies ya allah sibukkanlah orang zalim kejahatan orang zalim,Politik
8,bapak bapa bapa perhatian pendidikan anak anak papua pintar pintar gerakan indonesia mengajar lupakan warga papua bapa anies presiden,Politik
9,bawaslu dimaki warga gara mencopot spanduk ganjar mahfud spanduk calon presiden dicopot bawaslu tim sukses asalbukanprabowo ordebarureborn,Politik
10,isu basi terkait fakta anies mengganti pancasila sistem khilafah terkait toleransi penganut agamaanies blunder data rumah ibadah jakarta anies mengkhianati prabowo calon presiden kebenaran fakta disangkalentah niat jahat nafsu kepentingan pribadibenar seringkali buta mata hati buta,Ideologi
11,ganjar pranowomahfud md menekankan persiapan kebutuhan dasar alutsista matra darat laut udaraganjar mahfud m3nang ganjar mahfud rebound ganjar pranowo pilihan umat teman alam ganjar atikoh ibu negara apri0801,Pertahanan dan Keamanan
12,calon presiden calon presiden nomor urut 1 anies baswedan kemampuannya menghadapi debat ketiga debat ketiga tema pertahanan keamanan hubungan internasional geopolitik download metrotvxtend app store play store aniesbaswedan pemilu2024 debatcapres,Pertahanan dan Keamanan
13,calon presiden ganjar pranowo rencana bersinergi perguruan program membawa perubahan positif ganjar mahfud rebound ganjar pranowo pilihan umat,Politik
14,pendapatan apbd jumbo seindonesia mencapai rp 77,Ekonomi
15,kenyataan timbul menghancurkan pribadi isinya penuh kebencian ayahbowo adalahkita menimbulkan dampak emosional pemilih muncul fenomena bapak prabowo dukungantulus untuk02,Politik
