text,label,temp_list
kunjungan prabowo ini untuk meresmikan dan menyerahkan proyek bantuan air bersih di lima titik indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam,"['kunjungan', 'prabowo', 'ini', 'untuk', 'meresmikan', 'dan', 'menyerahkan', 'proyek', 'bantuan', 'air', 'bersih', 'di', 'lima', 'titik', 'indonesiasentris', 'indonesiahijau', '02melanjutkan', 'anakmudaindonesiaemas', 'prabowo', 'subianto']"
anies dapat tepuk tangan meriah saat jadi rektor mewajibkan mata kuliah antikorupsi untuk memutus mata rantai korupsi aminmiskinkankoruptor,Politik,"['anies', 'dapat', 'tepuk', 'tangan', 'meriah', 'saat', 'jadi', 'rektor', 'mewajibkan', 'mata', 'kuliah', 'antikorupsi', 'untuk', 'memutus', 'mata', 'rantai', 'korupsi', 'aminmiskinkankoruptor']"
emng bener sih pendukung 01 ada yg goblok begitu jg dg pendukung 02 hnya sj menurut pak ridwan kamil skemanya terbalik klo 01 mayoritas pendidikan menengah atas artinya ada jg pendidikan rendah yg milih,Demografi,"['emng', 'bener', 'sih', 'pendukung', '01', 'ada', 'yg', 'goblok', 'begitu', 'jg', 'dg', 'pendukung', '02', 'hnya', 'sj', 'menurut', 'pak', 'ridwan', 'kamil', 'skemanya', 'terbalik', 'klo', '01', 'mayoritas', 'pendidikan', 'menengah', 'atas', 'artinya', 'ada', 'jg', 'pendidikan', 'rendah', 'yg', 'milih']"
sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras apakah ini tidak standar ganda,Politik,"['sewaktu', 'anies', 'bersikap', 'kritis', 'ke', 'kinerja', 'pak', 'prabowo', 'dianggap', 'engga', 'sopan', 'karena', 'dianggap', 'kurang', 'menghormati', 'orang', 'tua', 'giliran', 'skrg', 'gibran', 'yg', 'tengil', 'dan', 'sok', 'kritis', 'malah', 'dianggap', 'kritis', 'dan', 'keras', 'apakah', 'ini', 'tidak', 'standar', 'ganda']"
anies baswedan harap asn termasuk tni dan polri pegang sumpahnya dalam pemilu,Politik,"['anies', 'baswedan', 'harap', 'asn', 'termasuk', 'tni', 'dan', 'polri', 'pegang', 'sumpahnya', 'dalam', 'pemilu']"
duh jangan sampai pak lurah denger nih di acara hajatan rakyat puluhan ribu warga di kendal serukan ganjar presiden kehadiran menjadi magnet bagi puluhan ribu warga untuk datang menghadiri hajatan rakyat ganjarmahfud besarnya antusiasme warga menjadi bukti bahwa jawa tengah tetap menjadi kandang banteng ganjarmahfud2024 tabrakprofmahfud,Politik,"['duh', 'jangan', 'sampai', 'pak', 'lurah', 'denger', 'nih', 'di', 'acara', 'hajatan', 'rakyat', 'puluhan', 'ribu', 'warga', 'di', 'kendal', 'serukan', 'ganjar', 'presiden', 'kehadiran', 'menjadi', 'magnet', 'bagi', 'puluhan', 'ribu', 'warga', 'untuk', 'datang', 'menghadiri', 'hajatan', 'rakyat', 'ganjarmahfud', 'besarnya', 'antusiasme', 'warga', 'menjadi', 'bukti', 'bahwa', 'jawa', 'tengah', 'tetap', 'menjadi', 'kandang', 'banteng', 'ganjarmahfud2024', 'tabrakprofmahfud']"
prabowo minta kemenhan dan tim satgas air unhan kaji bantuan air di sukabumi dekade08 prabowo gibran,Pertahanan dan Keamanan,"['prabowo', 'minta', 'kemenhan', 'dan', 'tim', 'satgas', 'air', 'unhan', 'kaji', 'bantuan', 'air', 'di', 'sukabumi', 'dekade08', 'prabowo', 'gibran']"
anies ya allah sibukkanlah orang zalim agar dapat kejahatan dari orang zalim lainnya,Politik,"['anies', 'ya', 'allah', 'sibukkanlah', 'orang', 'zalim', 'agar', 'dapat', 'kejahatan', 'dari', 'orang', 'zalim', 'lainnya']"
abah itu bapa kami bapa yg berikan perhatian untuk pendidikan anak anak papua jadi pintar pintar gerakan indonesia mengajar tak bisa di lupakan sama warga papua kami ingin bapa anies jadi presiden,Politik,"['abah', 'itu', 'bapa', 'kami', 'bapa', 'yg', 'berikan', 'perhatian', 'untuk', 'pendidikan', 'anak', 'anak', 'papua', 'jadi', 'pintar', 'pintar', 'gerakan', 'indonesia', 'mengajar', 'tak', 'bisa', 'di', 'lupakan', 'sama', 'warga', 'papua', 'kami', 'ingin', 'bapa', 'anies', 'jadi', 'presiden']"
bawaslu dimaki jancuk sama warga gara mencopot spanduk ganjar mahfud sementara spanduk capres lain tidak dicopot bawaslu rasa tim sukses asalbukanprabowo ordebarureborn,Politik,"['bawaslu', 'dimaki', 'jancuk', 'sama', 'warga', 'gara', 'mencopot', 'spanduk', 'ganjar', 'mahfud', 'sementara', 'spanduk', 'capres', 'lain', 'tidak', 'dicopot', 'bawaslu', 'rasa', 'tim', 'sukses', 'asalbukanprabowo', 'ordebarureborn']"
